Month-Year,Yield Type,Trend Score
1-2018,Corn,58
1-2018,Pepper,35
1-2018,Ginger,26
1-2018,Pumpkin,55
1-2018,Tomato,77
1-2018,Leak,83
1-2018,Pumpkin,13
1-2018,Onion,22
1-2018,Corn,14
1-2018,Onion,68
1-2018,Radish,33
1-2018,Garlic,67
1-2018,Chilies,14
1-2018,Radish,39
1-2018,Cowpea,62
1-2018,Garlic,38
1-2018,Chilies,26
1-2018,Radish,49
1-2018,Onion,65
1-2018,Onion,69
1-2018,Radish,66
1-2018,Pumpkin,12
1-2018,Garlic,15
1-2018,Cardamon,14
1-2018,Ginger,33
1-2018,Cardamon,33
1-2018,Onion,22
1-2018,Radish,67
1-2018,Pumpkin,55
1-2018,Tomato,87
1-2018,Tomato,75
1-2018,Cowpea,26
1-2018,Chilies,52
1-2018,Ginger,66
1-2018,Leak,72
1-2018,Corn,60
1-2018,Chilies,39
1-2018,Cocoa,66
1-2018,Pepper,20
1-2018,Chilies,17
1-2018,Pepper,18
1-2018,Pumpkin,32
1-2018,Leak,90
1-2018,Garlic,62
1-2018,Radish,19
1-2018,Pumpkin,55
1-2018,Pumpkin,69
1-2018,Ginger,18
1-2018,Ginger,42
1-2018,Pumpkin,34
1-2018,Garlic,37
1-2018,Cowpea,40
1-2018,Tomato,73
1-2018,Tomato,70
1-2018,Garlic,14
1-2018,Onion,13
1-2018,Garlic,11
1-2018,Cowpea,58
1-2018,Onion,11
1-2018,Pepper,21
1-2018,Leak,87
1-2018,Chilies,55
1-2018,Garlic,26
1-2018,Ginger,14
1-2018,Garlic,54
1-2018,Leak,76
1-2018,Pepper,46
1-2018,Pumpkin,46
1-2018,Chilies,25
1-2018,Corn,69
1-2018,Ginger,14
1-2018,Onion,25
1-2018,Pepper,46
1-2018,Radish,40
1-2018,Tomato,74
1-2018,Pepper,53
1-2018,Potato,63
1-2018,Cowpea,61
1-2018,Corn,34
1-2018,Pumpkin,45
1-2018,Cowpea,11
1-2018,Radish,11
1-2018,Cowpea,28
1-2018,Cardamon,69
1-2018,Radish,25
1-2018,Onion,33
1-2018,Garlic,49
1-2018,Cocoa,52
1-2018,Cowpea,30
1-2018,Onion,45
1-2018,Tomato,87
1-2018,Pumpkin,31
1-2018,Leak,70
1-2018,Garlic,36
1-2018,Cowpea,16
1-2018,Corn,38
1-2018,Garlic,64
1-2018,Potato,26
1-2018,Onion,20
1-2018,Potato,13
1-2018,Ginger,19
1-2018,Leak,86
1-2018,Tomato,94
1-2018,Corn,64
1-2018,Onion,55
1-2018,Chilies,10
1-2018,Pepper,49
1-2018,Onion,62
1-2018,Cardamon,39
1-2018,Cardamon,53
1-2018,Cocoa,59
1-2018,Cocoa,66
1-2018,Leak,92
1-2018,Pepper,34
1-2018,Ginger,28
1-2018,Radish,68
1-2018,Ginger,50
1-2018,Potato,50
1-2018,Cowpea,39
1-2018,Tomato,73
1-2018,Cocoa,58
1-2018,Chilies,38
1-2018,Onion,66
1-2018,Cardamon,22
1-2018,Onion,52
1-2018,Cocoa,15
1-2018,Radish,26
1-2018,Corn,46
1-2018,Corn,69
1-2018,Pepper,10
1-2018,Cocoa,50
1-2018,Leak,100
1-2018,Ginger,25
1-2018,Ginger,32
1-2018,Corn,63
1-2018,Cowpea,34
1-2018,Radish,51
1-2018,Pepper,27
1-2018,Garlic,15
1-2018,Cowpea,31
1-2018,Radish,52
1-2018,Ginger,21
1-2018,Garlic,34
1-2018,Ginger,67
1-2018,Garlic,33
1-2018,Corn,14
1-2018,Leak,94
1-2018,Garlic,36
1-2018,Corn,51
1-2018,Corn,65
1-2018,Cowpea,34
1-2018,Pumpkin,11
1-2018,Ginger,43
1-2018,Chilies,45
1-2018,Radish,51
1-2018,Onion,63
1-2018,Leak,86
1-2018,Ginger,16
1-2018,Potato,20
1-2018,Corn,46
1-2018,Chilies,58
1-2018,Cowpea,55
1-2018,Corn,70
1-2018,Cocoa,43
1-2018,Cardamon,64
1-2018,Cowpea,20
1-2018,Tomato,95
1-2018,Cardamon,24
1-2018,Pepper,46
1-2018,Radish,12
1-2018,Cocoa,12
1-2018,Cowpea,36
1-2018,Onion,33
1-2018,Tomato,97
1-2018,Garlic,28
1-2018,Cocoa,68
1-2018,Leak,74
1-2018,Leak,86
1-2018,Chilies,57
1-2018,Cowpea,34
1-2018,Pumpkin,69
1-2018,Corn,57
1-2018,Radish,35
1-2018,Ginger,55
1-2018,Garlic,49
1-2018,Leak,73
1-2018,Radish,56
1-2018,Tomato,93
1-2018,Cowpea,51
1-2018,Potato,51
1-2018,Cardamon,10
1-2018,Cocoa,56
1-2018,Cowpea,34
1-2018,Radish,55
1-2018,Tomato,91
1-2018,Potato,12
1-2018,Pepper,33
1-2018,Corn,37
1-2018,Cocoa,56
1-2018,Cocoa,52
1-2018,Ginger,40
1-2018,Chilies,27
1-2018,Pepper,37
1-2018,Cocoa,18
1-2018,Cowpea,56
1-2018,Cardamon,24
1-2018,Chilies,31
1-2018,Cowpea,30
1-2018,Cowpea,24
1-2018,Garlic,40
1-2018,Pepper,30
1-2018,Cowpea,54
1-2018,Cardamon,66
1-2018,Tomato,73
1-2018,Garlic,64
1-2018,Pumpkin,67
1-2018,Cowpea,60
1-2018,Potato,52
1-2018,Pepper,13
1-2018,Cowpea,23
1-2018,Onion,56
1-2018,Garlic,40
1-2018,Cowpea,30
1-2018,Ginger,35
1-2018,Radish,53
1-2018,Cocoa,54
1-2018,Leak,83
1-2018,Tomato,70
1-2018,Potato,42
1-2018,Chilies,63
1-2018,Onion,60
1-2018,Cocoa,24
1-2018,Garlic,62
1-2018,Pepper,58
1-2018,Potato,36
1-2018,Ginger,28
1-2018,Onion,22
1-2018,Corn,50
1-2018,Garlic,56
1-2018,Leak,74
1-2018,Potato,56
1-2018,Radish,34
1-2018,Garlic,61
1-2018,Cardamon,36
1-2018,Pumpkin,52
1-2018,Corn,20
1-2018,Cowpea,14
1-2018,Cowpea,52
1-2018,Onion,63
1-2018,Leak,78
1-2018,Radish,54
1-2018,Cocoa,11
1-2018,Leak,93
1-2018,Pumpkin,70
1-2018,Corn,17
1-2018,Pepper,53
1-2018,Pepper,66
1-2018,Ginger,70
1-2018,Leak,86
1-2018,Cowpea,46
1-2018,Chilies,44
1-2018,Pumpkin,26
1-2018,Potato,52
1-2018,Chilies,52
1-2018,Radish,58
1-2018,Potato,24
1-2018,Garlic,18
1-2018,Potato,26
1-2018,Tomato,95
1-2018,Cocoa,52
1-2018,Cocoa,31
1-2018,Tomato,97
1-2018,Cowpea,61
1-2018,Pumpkin,64
1-2018,Garlic,69
1-2018,Cardamon,52
1-2018,Leak,73
1-2018,Potato,68
1-2018,Garlic,52
1-2018,Radish,31
1-2018,Pepper,52
1-2018,Onion,64
1-2018,Radish,15
1-2018,Potato,60
1-2018,Pepper,39
1-2018,Garlic,62
1-2018,Pumpkin,24
1-2018,Garlic,47
1-2018,Garlic,65
1-2018,Radish,52
1-2018,Pumpkin,10
1-2018,Corn,40
1-2018,Onion,44
1-2018,Cocoa,23
1-2018,Potato,20
1-2018,Onion,49
1-2018,Chilies,38
1-2018,Tomato,82
1-2018,Garlic,51
1-2018,Garlic,30
1-2018,Pepper,24
1-2018,Garlic,60
1-2018,Corn,17
1-2018,Cowpea,66
1-2018,Radish,38
1-2018,Onion,18
1-2018,Onion,52
1-2018,Leak,88
1-2018,Cowpea,63
1-2018,Ginger,29
1-2018,Cocoa,11
1-2018,Leak,95
1-2018,Cardamon,36
1-2018,Pumpkin,40
1-2018,Pepper,59
1-2018,Garlic,60
1-2018,Ginger,28
1-2018,Radish,35
1-2018,Pepper,59
1-2018,Pumpkin,51
1-2018,Potato,53
1-2018,Ginger,28
1-2018,Cardamon,39
1-2018,Onion,63
1-2018,Chilies,52
1-2018,Radish,24
1-2018,Cocoa,24
1-2018,Chilies,67
1-2018,Chilies,17
1-2018,Cowpea,70
1-2018,Pumpkin,19
1-2018,Ginger,63
1-2018,Cocoa,11
1-2018,Tomato,72
1-2018,Cardamon,16
1-2018,Onion,16
1-2018,Cocoa,55
1-2018,Chilies,12
1-2018,Tomato,100
1-2018,Onion,10
1-2018,Onion,45
1-2018,Ginger,62
1-2018,Pumpkin,69
1-2018,Chilies,55
1-2018,Chilies,47
1-2018,Radish,24
1-2018,Leak,95
1-2018,Onion,42
1-2018,Radish,18
1-2018,Pepper,54
1-2018,Garlic,38
1-2018,Ginger,49
1-2018,Pepper,23
1-2018,Chilies,61
1-2018,Chilies,41
1-2018,Potato,42
1-2018,Tomato,94
1-2018,Ginger,17
1-2018,Potato,36
1-2018,Onion,35
1-2018,Leak,82
1-2018,Ginger,21
1-2018,Pumpkin,50
1-2018,Leak,70
1-2018,Tomato,78
1-2018,Corn,48
1-2018,Potato,20
1-2018,Corn,22
1-2018,Pepper,16
1-2018,Cowpea,49
1-2018,Tomato,92
1-2018,Leak,86
1-2018,Radish,31
1-2018,Radish,31
1-2018,Tomato,77
1-2018,Leak,80
1-2018,Pumpkin,26
1-2018,Onion,42
1-2018,Cowpea,21
1-2018,Cowpea,21
1-2018,Ginger,19
1-2018,Chilies,70
1-2018,Ginger,10
1-2018,Cardamon,70
1-2018,Garlic,67
1-2018,Radish,31
1-2018,Ginger,60
1-2018,Radish,64
1-2018,Onion,69
1-2018,Tomato,86
1-2018,Ginger,48
1-2018,Leak,82
1-2018,Cowpea,51
1-2018,Pepper,49
1-2018,Leak,84
1-2018,Cardamon,23
1-2018,Cocoa,43
1-2018,Cardamon,51
1-2018,Pepper,20
1-2018,Leak,77
1-2018,Ginger,16
1-2018,Tomato,96
1-2018,Onion,67
1-2018,Cocoa,23
1-2018,Pepper,70
1-2018,Cocoa,70
1-2018,Leak,85
1-2018,Cowpea,15
1-2018,Ginger,11
1-2018,Corn,63
1-2018,Cocoa,33
1-2018,Ginger,40
1-2018,Corn,47
1-2018,Leak,92
1-2018,Cowpea,68
1-2018,Corn,45
1-2018,Garlic,14
1-2018,Ginger,33
1-2018,Cardamon,17
1-2018,Tomato,81
1-2018,Garlic,70
1-2018,Corn,59
1-2018,Cowpea,56
1-2018,Cardamon,59
1-2018,Pepper,36
1-2018,Cowpea,67
1-2018,Pepper,34
